footprint_x,footprint_y,footprint_yaw,bar_height,distance_com_to_polygon,angle_deviation,axis_label,axis_0,axis_1,axis_2,height_high,height_low,height_mid,yaw_N
-0.3972383439540863,-0.06798011064529419,0.012602427157443748,1.0667322427034378,0.14539387392586298,0.0055544484160670975,1,False,True,False,False,False,True,True
-0.39716896414756775,-0.06795616447925568,0.01269184046647171,0.736400730907917,0.0951749829419662,0.004141581501794063,1,False,True,False,False,True,False,True
-0.3970174789428711,-0.06792102754116058,0.01273125638723202,0.6344692185521126,0.193310928536542,0.00886457929769412,0,True,False,False,False,True,False,True
-0.39648371934890747,-0.06778552383184433,0.011687832849553008,0.5536945760250092,0.17751729029596972,0.004797327206920104,0,True,False,False,False,True,False,True
-0.3963674306869507,-0.06775622069835663,0.011957859489755956,0.55315812677145,0.15901202496970201,0.007507275397797664,1,False,True,False,False,True,False,True
-0.3963671326637268,-0.06776940822601318,0.012005009525344194,1.31391741335392,0.15555604329210215,0.006073804817265994,1,False,True,False,True,False,False,True
-0.3964511752128601,-0.06792769581079483,0.011662346471224959,0.7632550001144409,0.19057895299923303,0.008721271327590211,2,False,False,True,False,False,True,True
-0.39522555470466614,-0.06785117834806442,0.011169693091668901,0.294996440410614,0.16312464809625463,0.005546120731881776,0,True,False,False,False,True,False,True
-0.3949642777442932,-0.06790903210639954,0.011530326280515653,0.807130977511406,0.13150869495210316,0.006136658912928571,1,False,True,False,False,False,True,True
-0.394895076751709,-0.06778356432914734,0.011617690994540448,1.2108443677425385,0.19144747413841687,0.005611467164313337,1,False,True,False,False,False,True,True
-0.39825716614723206,-0.06800709664821625,0.012500890672718312,1.2951121032238007,0.1724110904401037,0.011311932417003238,0,True,False,False,True,False,False,True
-0.3977912664413452,-0.06799578666687012,0.012601258854454692,1.2842033058404922,0.16001655515565535,0.006777982988214017,2,False,False,True,True,False,False,True
-0.39779889583587646,-0.06798204034566879,0.012593797039230213,1.2849412262439728,0.15978059584986204,0.004700804598481304,1,False,True,False,True,False,False,True
-0.39762285351753235,-0.06793580204248428,0.012458601071092491,1.294155165553093,0.1744255368795727,0.009203334151087999,0,True,False,False,True,False,False,True
-0.397257924079895,-0.0679914653301239,0.01261255780906934,1.2834579199552536,0.1601100785672213,0.0036809111925275866,1,False,True,False,False,False,True,True
