footprint_x,footprint_y,footprint_yaw,bar_height,distance_com_to_polygon,angle_deviation,pos_deviation,axis_label,axis_0,axis_1,axis_2,height_high,height_low,height_mid,yaw_E,yaw_N,yaw_NW,yaw_S,yaw_SE,yaw_SW
1.1411904096603394,1.2110893726348877,2.6954128421937527,0.300215695053339,0.13541600941182041,0.00469960391207107,0.01385244355588155,0,True,False,False,False,True,False,False,False,False,False,True,False
1.141208529472351,1.2110847234725952,2.695363701955862,0.4182980880141258,0.131615930565596,0.004557878000592829,0.011613412086231529,1,False,True,False,False,True,False,False,False,False,False,True,False
1.1406207084655762,1.2112572193145752,2.6951931310993373,0.8560016937553883,0.10941143360197662,0.011483259321208033,0.011405009318432245,2,False,False,True,False,False,True,False,False,False,False,True,False
1.1406277418136597,1.211287498474121,2.6953483267711347,1.1851348131895065,0.10505707979939442,0.0035444153545045307,0.012998558766243413,1,False,True,False,True,False,False,False,False,False,False,True,False
1.106648325920105,1.4285887479782104,-2.603073095003341,0.7052117176353931,0.11264687517400718,0.002692977357715116,0.013118141397810796,2,False,False,True,False,True,False,False,False,False,True,False,False
1.10739266872406,1.4285273551940918,-2.6040822773009697,1.0295413807034492,0.14637130703592974,0.005700522340094166,0.012111575930873393,0,True,False,False,False,False,True,False,False,False,True,False,False
-0.43083032965660095,1.577959418296814,-3.1403927506470435,0.9651969447731972,0.11638055979041038,0.002950904106513243,0.012536192237823877,1,False,True,False,False,False,True,False,False,False,True,False,False
-0.4308689832687378,1.5778934955596924,-3.1409378246072235,0.9483420513570309,0.1323717695777834,0.004206558928016464,0.014092133562870944,2,False,False,True,False,False,True,False,False,False,True,False,False
-0.8038749098777771,1.5788925886154175,-1.575210444213631,1.3234703242778778,0.13489013714283196,0.002757913395129018,0.013543428074540825,1,False,True,False,True,False,False,False,False,False,False,False,True
-0.8038911819458008,1.578815221786499,-1.575034240201041,0.7604947537183762,0.1457562489774437,0.010021004247541845,0.013090950017471294,0,True,False,False,False,False,True,False,False,False,False,False,True
-2.221896171569824,1.4650799036026,-0.6849667417941996,0.6467697769403458,0.17495429875799912,0.00960576248407748,0.015320678044607579,0,True,False,False,False,True,False,False,False,True,False,False,False
-2.2218594551086426,1.4651148319244385,-0.6859447676938021,1.128222018480301,0.16527063009654472,0.0069135324460601905,0.010217837589008566,1,False,True,False,False,False,True,False,False,True,False,False,False
-2.221954345703125,1.465129017829895,-0.6870920074104196,0.6872840151190758,0.15165890444690563,0.0013312474287195428,0.012371330528547405,2,False,False,True,False,True,False,False,False,True,False,False,False
-2.3783748149871826,0.011941412463784218,-0.09180966466065212,1.1700738370418549,0.15521667052148083,0.005540220084023469,0.01328462986647804,2,False,False,True,True,False,False,False,False,True,False,False,False
-2.3785035610198975,0.011884097009897232,-0.0916579145410727,0.671514593064785,0.1809495618280681,0.00293783034999078,0.013869805899869669,1,False,True,False,False,True,False,False,False,True,False,False,False
-2.3785955905914307,0.011851213872432709,-0.09171315352788197,1.3884937912225723,0.18119524219292557,0.007340310362444474,0.011845503712433413,0,True,False,False,True,False,False,False,False,True,False,False,False
-2.4849154949188232,-1.4039318561553955,0.6689313577399398,1.232635647058487,0.15079739954373508,0.005209692734288698,0.009921849683892557,0,True,False,False,True,False,False,False,True,False,False,False,False
-2.4849812984466553,-1.4040111303329468,0.6695079515707695,1.0219729095697403,0.11172734926281522,0.0012601189219961968,0.011783951672570256,1,False,True,False,False,False,True,False,True,False,False,False,False
-2.4849579334259033,-1.403935194015503,0.66956901255293,1.3029702305793762,0.10268359973111933,0.006283183674397527,0.011737978019528347,2,False,False,True,True,False,False,False,True,False,False,False,False
-0.1867981106042862,-1.7938811779022217,1.6033629609515534,0.5188206653110683,0.17041853331405343,0.00356597175825794,0.012687322760920052,2,False,False,True,False,True,False,True,False,False,False,False,False
-0.18655982613563538,-1.7941884994506836,1.6023498068781044,0.39658745750784874,0.16463770683165352,0.0040982279058668185,0.015171692378208002,1,False,True,False,False,True,False,True,False,False,False,False,False
-0.18670937418937683,-1.794275164604187,1.6024082941021391,0.984939768910408,0.1480656284842531,0.008151991747593288,0.010240958382247915,0,True,False,False,False,False,True,True,False,False,False,False,False
2.4533190727233887,-1.2808098793029785,2.63799607347268,1.1825890094041824,0.17871282708477965,0.006525932827700027,0.010071210487383665,0,True,False,False,True,False,False,False,False,False,False,True,False
2.453403949737549,-1.280585765838623,2.6377439029447554,1.0257991179823875,0.17787776483949572,0.006119984327102991,0.016246457695635513,1,False,True,False,False,False,True,False,False,False,False,True,False
2.453369140625,-1.2806882858276367,2.6381106619547476,1.1526121869683266,0.1548100597044343,0.007040073121097334,0.013211047567099852,2,False,False,True,True,False,False,False,False,False,False,True,False
2.482963800430298,0.14557236433029175,-3.104891360282432,1.313165232539177,0.178759463528533,0.010106495065688188,0.01260821156382024,0,True,False,False,True,False,False,False,False,False,True,False,False
2.48223876953125,0.14503301680088043,-3.104140752381889,0.3636147379875183,0.1514268536733215,0.002969719536696188,0.0135489620451693,1,False,True,False,False,True,False,False,False,False,True,False,False
2.4822874069213867,0.1449245661497116,-3.1038367905141575,0.5257553174160421,0.18682821576433153,0.011570581095837333,0.015198053060869514,2,False,False,True,False,True,False,False,False,False,True,False,False
2.4819552898406982,0.14546269178390503,-3.1044147070897123,1.2251145243644714,0.1309007469842249,0.0004833846039764762,0.014513290616957721,1,False,True,False,True,False,False,False,False,False,True,False,False
